PING 192.168.0.200 (192.168.0.200) 56(84) bytes of data.
64 bytes from 192.168.0.200: icmp_seq=1 ttl=64 time=105 ms
64 bytes from 192.168.0.200: icmp_seq=2 ttl=64 time=7.30 ms
64 bytes from 192.168.0.200: icmp_seq=3 ttl=64 time=6.93 ms
64 bytes from 192.168.0.200: icmp_seq=4 ttl=64 time=7.48 ms
64 bytes from 192.168.0.200: icmp_seq=5 ttl=64 time=8.91 ms
64 bytes from 192.168.0.200: icmp_seq=6 ttl=64 time=8.93 ms
64 bytes from 192.168.0.200: icmp_seq=7 ttl=64 time=8.11 ms
64 bytes from 192.168.0.200: icmp_seq=8 ttl=64 time=10.1 ms
64 bytes from 192.168.0.200: icmp_seq=9 ttl=64 time=12.9 ms
64 bytes from 192.168.0.200: icmp_seq=10 ttl=64 time=14.0 ms
64 bytes from 192.168.0.200: icmp_seq=11 ttl=64 time=5.86 ms
64 bytes from 192.168.0.200: icmp_seq=12 ttl=64 time=27.7 ms
64 bytes from 192.168.0.200: icmp_seq=13 ttl=64 time=8.92 ms
64 bytes from 192.168.0.200: icmp_seq=14 ttl=64 time=6.86 ms
64 bytes from 192.168.0.200: icmp_seq=15 ttl=64 time=8.91 ms
64 bytes from 192.168.0.200: icmp_seq=16 ttl=64 time=7.89 ms
64 bytes from 192.168.0.200: icmp_seq=17 ttl=64 time=9.91 ms
64 bytes from 192.168.0.200: icmp_seq=18 ttl=64 time=31.4 ms
64 bytes from 192.168.0.200: icmp_seq=19 ttl=64 time=12.8 ms
64 bytes from 192.168.0.200: icmp_seq=20 ttl=64 time=20.3 ms
64 bytes from 192.168.0.200: icmp_seq=21 ttl=64 time=14.1 ms
64 bytes from 192.168.0.200: icmp_seq=22 ttl=64 time=33.4 ms
64 bytes from 192.168.0.200: icmp_seq=23 ttl=64 time=6.22 ms
64 bytes from 192.168.0.200: icmp_seq=24 ttl=64 time=57.3 ms
64 bytes from 192.168.0.200: icmp_seq=25 ttl=64 time=9.95 ms
64 bytes from 192.168.0.200: icmp_seq=26 ttl=64 time=9.60 ms
64 bytes from 192.168.0.200: icmp_seq=27 ttl=64 time=6.93 ms
64 bytes from 192.168.0.200: icmp_seq=28 ttl=64 time=8.98 ms
64 bytes from 192.168.0.200: icmp_seq=29 ttl=64 time=10.0 ms
64 bytes from 192.168.0.200: icmp_seq=30 ttl=64 time=44.1 ms
64 bytes from 192.168.0.200: icmp_seq=31 ttl=64 time=6.68 ms
64 bytes from 192.168.0.200: icmp_seq=32 ttl=64 time=6.87 ms
64 bytes from 192.168.0.200: icmp_seq=33 ttl=64 time=27.3 ms
64 bytes from 192.168.0.200: icmp_seq=34 ttl=64 time=6.41 ms
64 bytes from 192.168.0.200: icmp_seq=35 ttl=64 time=18.1 ms
64 bytes from 192.168.0.200: icmp_seq=36 ttl=64 time=130 ms
64 bytes from 192.168.0.200: icmp_seq=37 ttl=64 time=10.9 ms
64 bytes from 192.168.0.200: icmp_seq=38 ttl=64 time=13.8 ms
64 bytes from 192.168.0.200: icmp_seq=39 ttl=64 time=14.8 ms
64 bytes from 192.168.0.200: icmp_seq=40 ttl=64 time=12.2 ms
64 bytes from 192.168.0.200: icmp_seq=41 ttl=64 time=16.2 ms
64 bytes from 192.168.0.200: icmp_seq=42 ttl=64 time=25.9 ms
64 bytes from 192.168.0.200: icmp_seq=43 ttl=64 time=6.72 ms
64 bytes from 192.168.0.200: icmp_seq=44 ttl=64 time=7.53 ms
64 bytes from 192.168.0.200: icmp_seq=45 ttl=64 time=8.67 ms
64 bytes from 192.168.0.200: icmp_seq=46 ttl=64 time=11.0 ms
64 bytes from 192.168.0.200: icmp_seq=47 ttl=64 time=9.79 ms
64 bytes from 192.168.0.200: icmp_seq=48 ttl=64 time=23.5 ms
64 bytes from 192.168.0.200: icmp_seq=49 ttl=64 time=11.9 ms
64 bytes from 192.168.0.200: icmp_seq=50 ttl=64 time=12.5 ms
64 bytes from 192.168.0.200: icmp_seq=51 ttl=64 time=15.9 ms
64 bytes from 192.168.0.200: icmp_seq=52 ttl=64 time=26.1 ms
64 bytes from 192.168.0.200: icmp_seq=53 ttl=64 time=6.93 ms
64 bytes from 192.168.0.200: icmp_seq=54 ttl=64 time=7.58 ms
64 bytes from 192.168.0.200: icmp_seq=55 ttl=64 time=9.22 ms
64 bytes from 192.168.0.200: icmp_seq=56 ttl=64 time=9.99 ms
64 bytes from 192.168.0.200: icmp_seq=57 ttl=64 time=30.8 ms
64 bytes from 192.168.0.200: icmp_seq=58 ttl=64 time=12.0 ms
64 bytes from 192.168.0.200: icmp_seq=59 ttl=64 time=40.5 ms
64 bytes from 192.168.0.200: icmp_seq=60 ttl=64 time=21.8 ms

--- 192.168.0.200 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59088ms
rtt min/avg/max/mdev = 5.856/18.216/130.287/21.308 ms
