PING 192.168.0.200 (192.168.0.200) 56(84) bytes of data.
64 bytes from 192.168.0.200: icmp_seq=1 ttl=64 time=49.2 ms
64 bytes from 192.168.0.200: icmp_seq=2 ttl=64 time=27.8 ms
64 bytes from 192.168.0.200: icmp_seq=3 ttl=64 time=23.0 ms
64 bytes from 192.168.0.200: icmp_seq=4 ttl=64 time=6.84 ms
64 bytes from 192.168.0.200: icmp_seq=5 ttl=64 time=7.14 ms
64 bytes from 192.168.0.200: icmp_seq=6 ttl=64 time=9.55 ms
64 bytes from 192.168.0.200: icmp_seq=7 ttl=64 time=22.6 ms
64 bytes from 192.168.0.200: icmp_seq=8 ttl=64 time=12.4 ms
64 bytes from 192.168.0.200: icmp_seq=9 ttl=64 time=12.4 ms
64 bytes from 192.168.0.200: icmp_seq=10 ttl=64 time=23.4 ms
64 bytes from 192.168.0.200: icmp_seq=11 ttl=64 time=18.9 ms
64 bytes from 192.168.0.200: icmp_seq=12 ttl=64 time=13.5 ms
64 bytes from 192.168.0.200: icmp_seq=13 ttl=64 time=35.0 ms
64 bytes from 192.168.0.200: icmp_seq=14 ttl=64 time=45.8 ms
64 bytes from 192.168.0.200: icmp_seq=15 ttl=64 time=17.0 ms
64 bytes from 192.168.0.200: icmp_seq=16 ttl=64 time=11.7 ms
64 bytes from 192.168.0.200: icmp_seq=17 ttl=64 time=18.9 ms
64 bytes from 192.168.0.200: icmp_seq=18 ttl=64 time=28.6 ms
64 bytes from 192.168.0.200: icmp_seq=19 ttl=64 time=30.0 ms
64 bytes from 192.168.0.200: icmp_seq=20 ttl=64 time=7.55 ms
64 bytes from 192.168.0.200: icmp_seq=21 ttl=64 time=7.60 ms
64 bytes from 192.168.0.200: icmp_seq=22 ttl=64 time=8.13 ms
64 bytes from 192.168.0.200: icmp_seq=23 ttl=64 time=8.13 ms
64 bytes from 192.168.0.200: icmp_seq=24 ttl=64 time=39.1 ms
64 bytes from 192.168.0.200: icmp_seq=25 ttl=64 time=23.3 ms
64 bytes from 192.168.0.200: icmp_seq=26 ttl=64 time=7.58 ms
64 bytes from 192.168.0.200: icmp_seq=27 ttl=64 time=6.63 ms
64 bytes from 192.168.0.200: icmp_seq=28 ttl=64 time=7.59 ms
64 bytes from 192.168.0.200: icmp_seq=29 ttl=64 time=7.08 ms
64 bytes from 192.168.0.200: icmp_seq=30 ttl=64 time=17.3 ms
64 bytes from 192.168.0.200: icmp_seq=31 ttl=64 time=47.1 ms
64 bytes from 192.168.0.200: icmp_seq=32 ttl=64 time=9.51 ms
64 bytes from 192.168.0.200: icmp_seq=33 ttl=64 time=7.49 ms
64 bytes from 192.168.0.200: icmp_seq=34 ttl=64 time=7.48 ms
64 bytes from 192.168.0.200: icmp_seq=35 ttl=64 time=6.75 ms
64 bytes from 192.168.0.200: icmp_seq=36 ttl=64 time=6.53 ms
64 bytes from 192.168.0.200: icmp_seq=37 ttl=64 time=69.2 ms
64 bytes from 192.168.0.200: icmp_seq=38 ttl=64 time=6.94 ms
64 bytes from 192.168.0.200: icmp_seq=39 ttl=64 time=7.50 ms
64 bytes from 192.168.0.200: icmp_seq=40 ttl=64 time=9.10 ms
64 bytes from 192.168.0.200: icmp_seq=41 ttl=64 time=9.47 ms
64 bytes from 192.168.0.200: icmp_seq=42 ttl=64 time=11.0 ms
64 bytes from 192.168.0.200: icmp_seq=43 ttl=64 time=39.3 ms
64 bytes from 192.168.0.200: icmp_seq=44 ttl=64 time=6.66 ms
64 bytes from 192.168.0.200: icmp_seq=45 ttl=64 time=6.47 ms
64 bytes from 192.168.0.200: icmp_seq=46 ttl=64 time=7.54 ms
64 bytes from 192.168.0.200: icmp_seq=47 ttl=64 time=6.59 ms
64 bytes from 192.168.0.200: icmp_seq=48 ttl=64 time=7.25 ms
64 bytes from 192.168.0.200: icmp_seq=49 ttl=64 time=45.3 ms
64 bytes from 192.168.0.200: icmp_seq=50 ttl=64 time=9.53 ms
64 bytes from 192.168.0.200: icmp_seq=51 ttl=64 time=13.5 ms
64 bytes from 192.168.0.200: icmp_seq=52 ttl=64 time=13.5 ms
64 bytes from 192.168.0.200: icmp_seq=53 ttl=64 time=6.50 ms
64 bytes from 192.168.0.200: icmp_seq=54 ttl=64 time=7.52 ms
64 bytes from 192.168.0.200: icmp_seq=55 ttl=64 time=54.9 ms
64 bytes from 192.168.0.200: icmp_seq=56 ttl=64 time=7.49 ms
64 bytes from 192.168.0.200: icmp_seq=57 ttl=64 time=7.00 ms
64 bytes from 192.168.0.200: icmp_seq=58 ttl=64 time=9.65 ms
64 bytes from 192.168.0.200: icmp_seq=59 ttl=64 time=11.2 ms
64 bytes from 192.168.0.200: icmp_seq=60 ttl=64 time=6.70 ms

--- 192.168.0.200 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59092ms
rtt min/avg/max/mdev = 6.473/16.973/69.189/14.522 ms
