PING 192.168.0.200 (192.168.0.200) 56(84) bytes of data.
64 bytes from 192.168.0.200: icmp_seq=1 ttl=64 time=192 ms
64 bytes from 192.168.0.200: icmp_seq=2 ttl=64 time=11.4 ms
64 bytes from 192.168.0.200: icmp_seq=3 ttl=64 time=10.5 ms
64 bytes from 192.168.0.200: icmp_seq=4 ttl=64 time=9.86 ms
64 bytes from 192.168.0.200: icmp_seq=5 ttl=64 time=7.62 ms
64 bytes from 192.168.0.200: icmp_seq=6 ttl=64 time=7.60 ms
64 bytes from 192.168.0.200: icmp_seq=7 ttl=64 time=17.1 ms
64 bytes from 192.168.0.200: icmp_seq=8 ttl=64 time=9.54 ms
64 bytes from 192.168.0.200: icmp_seq=9 ttl=64 time=10.7 ms
64 bytes from 192.168.0.200: icmp_seq=10 ttl=64 time=8.75 ms
64 bytes from 192.168.0.200: icmp_seq=11 ttl=64 time=6.64 ms
64 bytes from 192.168.0.200: icmp_seq=12 ttl=64 time=61.1 ms
64 bytes from 192.168.0.200: icmp_seq=13 ttl=64 time=7.58 ms
64 bytes from 192.168.0.200: icmp_seq=14 ttl=64 time=24.8 ms
64 bytes from 192.168.0.200: icmp_seq=15 ttl=64 time=13.6 ms
64 bytes from 192.168.0.200: icmp_seq=16 ttl=64 time=7.61 ms
64 bytes from 192.168.0.200: icmp_seq=17 ttl=64 time=8.50 ms
64 bytes from 192.168.0.200: icmp_seq=18 ttl=64 time=57.9 ms
64 bytes from 192.168.0.200: icmp_seq=19 ttl=64 time=10.7 ms
64 bytes from 192.168.0.200: icmp_seq=20 ttl=64 time=12.7 ms
64 bytes from 192.168.0.200: icmp_seq=21 ttl=64 time=14.7 ms
64 bytes from 192.168.0.200: icmp_seq=22 ttl=64 time=11.6 ms
64 bytes from 192.168.0.200: icmp_seq=23 ttl=64 time=6.74 ms
64 bytes from 192.168.0.200: icmp_seq=24 ttl=64 time=22.7 ms
64 bytes from 192.168.0.200: icmp_seq=25 ttl=64 time=7.29 ms
64 bytes from 192.168.0.200: icmp_seq=26 ttl=64 time=8.59 ms
64 bytes from 192.168.0.200: icmp_seq=27 ttl=64 time=9.57 ms
64 bytes from 192.168.0.200: icmp_seq=28 ttl=64 time=18.2 ms
64 bytes from 192.168.0.200: icmp_seq=29 ttl=64 time=36.5 ms
64 bytes from 192.168.0.200: icmp_seq=30 ttl=64 time=37.6 ms
64 bytes from 192.168.0.200: icmp_seq=31 ttl=64 time=6.71 ms
64 bytes from 192.168.0.200: icmp_seq=32 ttl=64 time=9.74 ms
64 bytes from 192.168.0.200: icmp_seq=33 ttl=64 time=7.69 ms
64 bytes from 192.168.0.200: icmp_seq=34 ttl=64 time=7.64 ms
64 bytes from 192.168.0.200: icmp_seq=35 ttl=64 time=96.6 ms
64 bytes from 192.168.0.200: icmp_seq=36 ttl=64 time=6.45 ms
64 bytes from 192.168.0.200: icmp_seq=37 ttl=64 time=11.7 ms
64 bytes from 192.168.0.200: icmp_seq=38 ttl=64 time=8.54 ms
64 bytes from 192.168.0.200: icmp_seq=39 ttl=64 time=7.55 ms
64 bytes from 192.168.0.200: icmp_seq=40 ttl=64 time=7.75 ms
64 bytes from 192.168.0.200: icmp_seq=41 ttl=64 time=48.5 ms
64 bytes from 192.168.0.200: icmp_seq=42 ttl=64 time=8.13 ms
64 bytes from 192.168.0.200: icmp_seq=43 ttl=64 time=13.5 ms
64 bytes from 192.168.0.200: icmp_seq=44 ttl=64 time=9.55 ms
64 bytes from 192.168.0.200: icmp_seq=45 ttl=64 time=8.23 ms
64 bytes from 192.168.0.200: icmp_seq=46 ttl=64 time=7.64 ms
64 bytes from 192.168.0.200: icmp_seq=47 ttl=64 time=70.6 ms
64 bytes from 192.168.0.200: icmp_seq=48 ttl=64 time=10.3 ms
64 bytes from 192.168.0.200: icmp_seq=49 ttl=64 time=9.86 ms
64 bytes from 192.168.0.200: icmp_seq=50 ttl=64 time=6.62 ms
64 bytes from 192.168.0.200: icmp_seq=51 ttl=64 time=6.81 ms
64 bytes from 192.168.0.200: icmp_seq=52 ttl=64 time=7.28 ms
64 bytes from 192.168.0.200: icmp_seq=53 ttl=64 time=209 ms
64 bytes from 192.168.0.200: icmp_seq=54 ttl=64 time=8.83 ms
64 bytes from 192.168.0.200: icmp_seq=55 ttl=64 time=10.7 ms
64 bytes from 192.168.0.200: icmp_seq=56 ttl=64 time=6.97 ms
64 bytes from 192.168.0.200: icmp_seq=57 ttl=64 time=7.70 ms
64 bytes from 192.168.0.200: icmp_seq=58 ttl=64 time=9.69 ms
64 bytes from 192.168.0.200: icmp_seq=59 ttl=64 time=10.4 ms
64 bytes from 192.168.0.200: icmp_seq=60 ttl=64 time=6.54 ms

--- 192.168.0.200 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59102ms
rtt min/avg/max/mdev = 6.445/21.946/208.912/37.394 ms
